"year" "lower" "upper" "NumbersTotArea" "midw" "Nden"
"415" 1991 1678.804018 2371.373706 13.343499186 2025.088862 6.69794960233751e-10
"416" 1992 1678.804018 2371.373706 4.88290717 2025.088862 2.45104119104433e-10
"417" 1993 1678.804018 2371.373706 21.272348893 2025.088862 1.06779427811668e-09
"418" 1994 1678.804018 2371.373706 13.099009245 2025.088862 6.57522457494629e-10
"419" 1995 1678.804018 2371.373706 18.798980167 2025.088862 9.43640194964886e-10
"420" 1996 1678.804018 2371.373706 10.014115385 2025.088862 5.02672044459648e-10
"421" 1997 1678.804018 2371.373706 7.539747679 2025.088862 3.78467816157764e-10
"422" 1998 1678.804018 2371.373706 11.394730242 2025.088862 5.71973871540558e-10
"423" 1999 1678.804018 2371.373706 11.014861667 2025.088862 5.52905855457256e-10
"424" 2000 1678.804018 2371.373706 13.079228271 2025.088862 6.56529524793167e-10
"425" 2001 1678.804018 2371.373706 22.209962252 2025.088862 1.11485904679182e-09
"426" 2002 1678.804018 2371.373706 14.377061385 2025.088862 7.21676010498635e-10
"427" 2003 1678.804018 2371.373706 9.765800963 2025.088862 4.90207566732287e-10
"428" 2004 1678.804018 2371.373706 9.485535695 2025.088862 4.76139273144656e-10
"429" 2005 1678.804018 2371.373706 11.239557392 2025.088862 5.64184760794844e-10
"430" 2006 1678.804018 2371.373706 9.379464136 2025.088862 4.70814868005344e-10
"431" 2007 1678.804018 2371.373706 20.406650554 2025.088862 1.02433938098196e-09
"432" 2008 1678.804018 2371.373706 12.863558097 2025.088862 6.45703669175812e-10
"433" 2009 1678.804018 2371.373706 13.858804114 2025.088862 6.9566138694438e-10
"434" 2010 1678.804018 2371.373706 29.128154954 2025.088862 1.46212707155307e-09
"435" 2011 1678.804018 2371.373706 7.081672996 2025.088862 3.55474138876621e-10
"436" 1983 2371.373706 3349.654392 9.219578601 2860.514049 3.27629661740673e-10
"437" 1984 2371.373706 3349.654392 21.124426284 2860.514049 7.50683836801609e-10
"438" 1985 2371.373706 3349.654392 25.687949111 2860.514049 9.12854528637099e-10
"439" 1986 2371.373706 3349.654392 11.491539064 2860.514049 4.08366718193571e-10
"440" 1987 2371.373706 3349.654392 5.167845479 2860.514049 1.83646079662381e-10
"441" 1988 2371.373706 3349.654392 15.276680345 2860.514049 5.42876614058028e-10
"442" 1989 2371.373706 3349.654392 9.134657507 2860.514049 3.24611880722042e-10
"443" 1990 2371.373706 3349.654392 8.148185866 2860.514049 2.8955633382074e-10
"444" 1991 2371.373706 3349.654392 8.796511895 2860.514049 3.12595438618426e-10
"445" 1992 2371.373706 3349.654392 3.733780479 2860.514049 1.32684723270976e-10
"446" 1993 2371.373706 3349.654392 17.013201827 2860.514049 6.04586153113464e-10
"447" 1994 2371.373706 3349.654392 5.988693031 2860.514049 2.12815960135362e-10
"448" 1995 2371.373706 3349.654392 7.383413483 2860.514049 2.62379157076055e-10
"449" 1996 2371.373706 3349.654392 8.707911793 2860.514049 3.09446919287478e-10
"450" 1997 2371.373706 3349.654392 7.097168456 2860.514049 2.52207069453656e-10
"451" 1998 2371.373706 3349.654392 6.54600696 2860.514049 2.32620832130469e-10
"452" 1999 2371.373706 3349.654392 8.684224966 2860.514049 3.08605177223813e-10
"453" 2000 2371.373706 3349.654392 10.932222826 2860.514049 3.88490691555854e-10
"454" 2001 2371.373706 3349.654392 6.308933222 2860.514049 2.24196109922438e-10
"455" 2002 2371.373706 3349.654392 10.625209899 2860.514049 3.77580589719733e-10
"456" 2003 2371.373706 3349.654392 10.833669262 2860.514049 3.84988463066456e-10
"457" 2004 2371.373706 3349.654392 4.543534758 2860.514049 1.61460389925963e-10
"458" 2005 2371.373706 3349.654392 3.578560179 2860.514049 1.27168768954065e-10
"459" 2006 2371.373706 3349.654392 5.15470844 2860.514049 1.83179237973611e-10
"460" 2007 2371.373706 3349.654392 12.763122923 2860.514049 4.53554096882862e-10
"461" 2008 2371.373706 3349.654392 9.781311139 2860.514049 3.4759155472716e-10
"462" 2009 2371.373706 3349.654392 9.117733663 2860.514049 3.24010470014999e-10
"463" 2010 2371.373706 3349.654392 15.321241474 2860.514049 5.44460151468238e-10
"464" 2011 2371.373706 3349.654392 8.811730824 2860.514049 3.13136262963672e-10
"465" 1983 3349.654392 4731.51259 6.358974353 4040.583491 1.59977614176621e-10
"466" 1984 3349.654392 4731.51259 7.515378764 4040.583491 1.89070170369716e-10
"467" 1985 3349.654392 4731.51259 13.048244852 4040.583491 3.28264742824532e-10
"468" 1986 3349.654392 4731.51259 7.254898421 4040.583491 1.82517065812314e-10
"469" 1987 3349.654392 4731.51259 4.918960379 4040.583491 1.23750073829202e-10
"470" 1988 3349.654392 4731.51259 5.861194581 4040.583491 1.47454585164502e-10
"471" 1989 3349.654392 4731.51259 5.935027638 4040.583491 1.49312060230533e-10
"472" 1990 3349.654392 4731.51259 6.814105592 4040.583491 1.71427701204904e-10
"473" 1991 3349.654392 4731.51259 4.448897814 4040.583491 1.11924347935691e-10
"474" 1992 3349.654392 4731.51259 4.372249031 4040.583491 1.09996035482583e-10
"475" 1993 3349.654392 4731.51259 7.291713002 4040.583491 1.83443238573573e-10
"476" 1994 3349.654392 4731.51259 2.631610253 4040.583491 6.62054454613516e-11
"477" 1995 3349.654392 4731.51259 4.073922393 4040.583491 1.0249080254041e-10
"478" 1996 3349.654392 4731.51259 3.734990585 4040.583491 9.39640340707698e-11
"479" 1997 3349.654392 4731.51259 4.383312017 4040.583491 1.10274355539829e-10
"480" 1998 3349.654392 4731.51259 3.3772184 4040.583491 8.49632837299456e-11
"481" 1999 3349.654392 4731.51259 3.953728244 4040.583491 9.94669857851277e-11
